id,doi,title,authors,journal,abstract,keywords,publication_date,url,pdf_url,download_path,original_url,pdf_md5,created_at,updated_at
11,10.1038/s41557-022-00986-1,"Plot twist in the iron spin saga","J. Olof Johansson","Nature Chemistry","Nature Chemistry
 14, 
722–723 (2022)Cite this article","Photochemistry, Optical spectroscopy",2022-07-01,https://nature.f.33tsg.xyz/articles/s41557-022-00986-1,https://nature.f.33tsg.xyz/articles/s41557-022-00986-1.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Plot twist in the iron spin saga.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
12,10.1038/s41699-021-00247-8,"Photocatalytic activity of twist-angle stacked 2D TaS2","Evgeniya Kovalska, Pradip Kumar Roy, Nikolas Antonatos, Vlastimil Mazanek, Martin Vesely, Bing Wu, Zdenek Sofer","npj 2D Materials and Applications","The low-cost, efficient photoelectrosensitive electrodes as an alternative to expensive and complex rigid systems are yet in demand for advanced photoresponsive technology. Here, the light-induced efficiency of electrochemically exfoliated TaS2 nanosheets for hydrogen generation catalysis and photodetectors was demonstrated. Mutual twisting of the exfoliated 2H-TaS2 flakes leads to the redistribution of charge density induced by interlayer interaction of the individual nanosheets. External light irradiation on the TaS2 surface influences its conductivity making the material feasible for photoelectrocatalysis and photodetection. The TaS2-based photoelectrocatalyst demonstrates high hydrogen evolution reaction (HER) activity with the onset overpotential below 575 mV vs. reversible hydrogen electrode (RHE). The TaS2-integrated photodetector in the acidic medium represents its broadband response with the highest photoresponsivity (0.62 mA W−1) toward 420 nm light illumination. This finding will pave the way to a new realization of exfoliated twist-angle stacked TaS2 for photo-induced electrochemistry and sensing.","Materials chemistry, Photocatalysis",2021-07-22,https://nature.f.33tsg.xyz/articles/s41699-021-00247-8,https://nature.f.33tsg.xyz/articles/s41699-021-00247-8.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Photocatalytic activity of twist-angle stacked 2D TaS2.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
13,10.1038/s41586-025-09138-0,"Soft magnetic hysteresis in a dysprosium amide–alkene complex up to 100 kelvin",,Nature,"Understanding the layer stacking in two-dimensional covalent organic frameworks remains a significant challenge. A study now reports the on-surface synthesis of bilayer covalent organic frameworks where the interlayer orientation — the twist angle — can be modulated through tuning the monomer structure.",NULL,NULL,https://nature.f.33tsg.xyz/articles/s41586-025-09138-0,NULL,NULL,NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
14,10.1038/s41467-022-29088-9,"Microfluidic manipulation by spiral hollow-fibre actuators","Sitong Li, Rui Zhang, Guanghao Zhang, Luyizheng Shuai, Wang Chang, Xiaoyu Hu, Min Zou, Xiang Zhou, Baigang An, Dong Qian, Zunfeng Liu","Nature Communications","A microfluidic manipulation system that can sense a liquid and control its flow is highly desirable. However, conventional sensors and motors have difficulty fitting the limited space in microfluidic devices; moreover, fast sensing and actuation are required because of the fast liquid flow in the hollow fibre. In this study, fast torsional and tensile actuators were developed using hollow fibres employing spiral nonlinear stress, which can sense the fluid temperature and sort the fluid into the desired vessels. The fluid-driven actuation exhibited a highly increased response speed (27 times as fast as that of air-driven actuation) and increased power density (90 times that of an air-driven solid fibre actuator). A 0.5 K fluid temperature fluctuation produced a 20° rotation of the hollow fibre. These high performances originated from increments in both heat transfer and the average bias angle, which was understood through theoretical analysis. This work provides a new design strategy for intelligent microfluidics and inspiration for soft robots and smart devices for biological, optical, or magnetic applications.","Actuators, Polymers",2022-03-14,https://nature.f.33tsg.xyz/articles/s41467-022-29088-9,https://nature.f.33tsg.xyz/articles/s41467-022-29088-9.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Microfluidic manipulation by spiral hollow-fibre actuators.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
15,10.1038/srep01444,"Relation between the helical twist and S-shaped cross section of the lamellar crystals of polyethylene","Takayuki Ikehara, Toshiyuki Kataoka","Scientific Reports","The relation between the handedness of helical twist and the S-shaped cross section of the lamellar crystals is discussed for linear polyethylene. The lamellar crystals are found to rotate so that the convex surfaces of “S” push aside the melt when they advance in the growth direction. This relation, which has not been examined sufficiently so far, is found to be opposite from what was proposed earlier. A model to explain these observations is presented. This paper also demonstrates that the twist handedness can be clarified based on the stack order of crystalline lamellae without any treatment such as etching or extraction to isolate the lamellar crystals.","Applied physics, Chemical physics, Polymer characterization, Structure of solids and liquids",2013-03-13,https://nature.f.33tsg.xyz/articles/srep01444,https://nature.f.33tsg.xyz/articles/srep01444.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Relation between the helical twist and S-shaped cross section of the lamellar crystals of polyethylene.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
16,10.1038/s41893-025-01523-x,"High-strength cellulose fibres enabled by molecular packing","Kaiqing Yu, Chao Li, Wenhui Gu, Meilin Wang, Jiatian Li, Kai Wen, Yicheng Xiao, Shiyong Liu, Yan Liang, Wenjin Guo, Weiqiang Zhao, Jie Bai, Dongdong Ye, Yutian Zhu, Meifang Zhu, Xiang Zhou, Zunfeng Liu","Nature Sustainability","Developing high-performance bio-based fibres is highly desirable for improving the sustainability of materials. Cellulose is one of the most abundant bio-derived feedstocks to fabricate such materials. However, the fabrication of high-strength macro cellulose fibres is challenging due to the difficulty in obtaining ordered packing of cellulose molecular chains and nanocrystals in the macro-fibres. Here we develop a draw spinning/de-acetylation method to prepare cellulose fibres with highly ordered molecular packing that incorporates high strength in the obtained fibres. Specifically, a fibre draw spun from well-dispersed cellulose triacetate solution was de-acetylated to generate cellulose fibres, which were then twisted to spirally align the molecular chains. The resulting fibres exhibited mechanical strength of 3.08 GPa and toughness of 215.1 MJ m−3, much higher than existing fibre materials. This work paves the way to obtaining high-performance bio-based fibres.","Mechanical properties",2025-03-03,https://nature.f.33tsg.xyz/articles/s41893-025-01523-x,https://nature.f.33tsg.xyz/articles/s41893-025-01523-x.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/High-strength cellulose fibres enabled by molecular packing.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
17,10.1038/s41557-023-01397-6,"Ultrafast Raman observation of the perpendicular intermediate phantom state of stilbene photoisomerization","Hikaru Kuramochi, Takuro Tsutsumi, Kenichiro Saita, Zhengrong Wei, Masahisa Osawa, Pardeep Kumar, Li Liu, Satoshi Takeuchi, Tetsuya Taketsugu, Tahei Tahara","Nature Chemistry","Trans–cis photoisomerization is generally described by a model in which the reaction proceeds via a common intermediate having a perpendicular conformation around the rotating bond, irrespective of from which isomer the reaction starts. Nevertheless, such an intermediate has yet to be identified unambiguously, and it is often called the ‘phantom’ state. Here we present the structural identification of the common, perpendicular intermediate of stilbene photoisomerization using ultrafast Raman spectroscopy. Our results reveal ultrafast birth and decay of an identical, short-lived transient that exhibits a vibrational signature characteristic of the perpendicular state upon photoexcitation of the trans and cis forms. In combination with ab initio molecular dynamics simulations, it is shown that the photoexcited trans and cis forms are funnelled off to the ground state through the same, perpendicular intermediate.","Excited states, Reaction kinetics and dynamics, Photochemistry, Raman spectroscopy",2024-01-05,https://nature.f.33tsg.xyz/articles/s41557-023-01397-6,https://nature.f.33tsg.xyz/articles/s41557-023-01397-6.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Ultrafast Raman observation of the perpendicular intermediate phantom state of stilbene photoisomerization.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
18,10.1038/ncomms8853,"Measurement of the cleavage energy of graphite","Wen Wang, Shuyang Dai, Xide Li, Jiarui Yang, David J. Srolovitz, Quanshui Zheng","Nature Communications","The basal plane cleavage energy (CE) of graphite is a key material parameter for understanding many of the unusual properties of graphite, graphene and carbon nanotubes. Nonetheless, a wide range of values for the CE has been reported and no consensus has yet emerged. Here we report the first direct, accurate experimental measurement of the CE of graphite using a novel method based on the self-retraction phenomenon in graphite. The measured value, 0.37±0.01 J m−2 for the incommensurate state of bicrystal graphite, is nearly invariant with respect to temperature (22 °C≤T≤198 °C) and bicrystal twist angle, and insensitive to impurities from the atmosphere. The CE for the ideal ABAB graphite stacking, 0.39±0.02 J m−2, is calculated based on a combination of the measured CE and a theoretical calculation. These experimental measurements are also ideal for use in evaluating the efficacy of competing theoretical approaches.","Energy, Nanoscale materials, Nanoscience and technology",2015-08-28,https://nature.f.33tsg.xyz/articles/ncomms8853,https://nature.f.33tsg.xyz/articles/ncomms8853.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Measurement of the cleavage energy of graphite.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
19,10.1038/s41467-025-59600-w,"A Programmable Wafer-scale Chiroptical Heterostructure of Twisted Aligned Carbon Nanotubes and Phase Change Materials","Jichao Fan, Ruiyang Chen, Minhan Lou, Haoyu Xie, Nina Hong, Benjamin Hillam, Jacques Doumani, Yingheng Tang, Weilu Gao","Nature Communications","The ability to design and dynamically control chiroptical responses in solid-state matter at a wafer scale enables new opportunities in various areas. Here, we present a full stack of computer-aided designs and experimental implementations of a dynamically programmable, unified, scalable chiroptical heterostructure containing wafer-scale twisted aligned one-dimensional carbon nanotubes and non-volatile phase change materials. We develop a software infrastructure based on high-performance machine learning frameworks, including differentiable programming and derivative-free optimization, to efficiently optimize the tunability of both reciprocal and nonreciprocal circular dichroism responses, which are experimentally validated. Further, we demonstrate the heterostructure scalability regarding stacking layers and the dual roles of aligned carbon nanotubes - the layer to produce chiroptical responses and the Joule heating electrode to electrically program phase change materials. This heterostructure platform is versatile and expandable to a library of one-dimensional nanomaterials, phase change materials, and electro-optic materials for exploring novel chiral phenomena and photonic and optoelectronic devices.","Carbon nanotubes and fullerenes, Materials for optics, Optical materials",2025-05-14,https://nature.f.33tsg.xyz/articles/s41467-025-59600-w,https://nature.f.33tsg.xyz/articles/s41467-025-59600-w.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/A Programmable Wafer-scale Chiroptical Heterostructure of Twisted Aligned Carbon Nanotubes and Phase Change Materials.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
20,10.1038/srep15652,"Right handed chiral superstructures from achiral molecules: self-assembly with a twist","Anuradha, Duong Duc La, Mohammad Al Kobaisi, Sheshanath V. Bhosale","Scientific Reports","The induction and development of chiral supramolecular structures from hierarchical self-assembly of achiral compounds is closely related to the evolution of life and the chiral amplification found in nature. Here we show that the combination of achiral tetraphenylethene (TPE) an AIE-active luminophore bearing four long alkyl chains via amide linkage allows the entire process of induction and control of supramolecular chirality into well-defined uniform right-handed twisted superstructures via solvent composition and polarity, i.e. solvophobic effect. We showed that the degree of twist and the pitch of the ribbons can be controlled to one-handed helical structure via solvophobic effects. The twisted superstructure assembly was visualised by scanning electron microscope (SEM) and transmission electron microscopy (TEM), furthermore, circular dichroism (CD) confirms used to determine controlled right-handed assembly. This controlled assembly of an AIE-active molecule can be of practical value; for example, as templates for helical crystallisation, catalysis and a chiral mechanochromic luminescent superstructure formation.","Molecular self-assembly, Self-assembly",2015-10-23,https://nature.f.33tsg.xyz/articles/srep15652,https://nature.f.33tsg.xyz/articles/srep15652.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Right handed chiral superstructures from achiral molecules_ self-assembly with a twist.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
21,10.1038/s41467-025-59873-1,"A self-assembled protein β-helix as a self-contained biofunctional motif","Camilla Dondi, Javier Garcia-Ruiz, Erol Hasan, Stephanie Rey, James E. Noble, Alex Hoose, Andrea Briones, Ibolya E. Kepiro, Nilofar Faruqui, Purnank Aggarwal, Poonam Ghai, Michael Shaw, Antony T. Fry, Antony Maxwell, Bart W. Hoogenboom, Christian D. Lorenz, Maxim G. Ryadnov","Nature Communications","Nature constructs matter by employing protein folding motifs, many of which have been synthetically reconstituted to exploit function. A less understood motif whose structure-function relationships remain unexploited is formed by parallel β-strands arranged in a helical repetitive pattern, termed a β-helix. Herein we reconstitute a protein β-helix by design and endow it with biological function. Unlike β-helical proteins, which are contiguous covalent structures, this β-helix self-assembles from an elementary sequence of 18 amino acids. Using a combination of experimental and computational methods, we demonstrate that the resulting assemblies are discrete cylindrical structures exhibiting conserved dimensions at the nanoscale. We provide evidence for the structures to form a carpet-like three-dimensional scaffold promoting and inhibiting the growth of human and bacterial cells, respectively, while being able to mediate intracellular gene delivery. The study introduces a self-assembled β-helix as a self-contained bio- and multi-functional motif for exploring and exploiting mechanistic biology.","Gels and hydrogels, Nanoscale biophysics, Protein design",2025-05-15,https://nature.f.33tsg.xyz/articles/s41467-025-59873-1,https://nature.f.33tsg.xyz/articles/s41467-025-59873-1.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/A self-assembled protein β-helix as a self-contained biofunctional motif.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
22,10.1038/s41467-020-15619-9,"Quantitative prediction of grain boundary thermal conductivities from local atomic environments","Susumu Fujii, Tatsuya Yokoi, Craig A. J. Fisher, Hiroki Moriwake, Masato Yoshiya","Nature Communications","Quantifying the dependence of thermal conductivity on grain boundary (GB) structure is critical for controlling nanoscale thermal transport in many technologically important materials. A major obstacle to determining such a relationship is the lack of a robust and physically intuitive structure descriptor capable of distinguishing between disparate GB structures. We demonstrate that a microscopic structure metric, the local distortion factor, correlates well with atomically decomposed thermal conductivities obtained from perturbed molecular dynamics for a wide variety of MgO GBs. Based on this correlation, a model for accurately predicting thermal conductivity of GBs is constructed using machine learning techniques. The model reveals that small distortions to local atomic environments are sufficient to reduce overall thermal conductivity dramatically. The method developed should enable more precise design of next-generation thermal materials as it allows GB structures exhibiting the desired thermal transport behaviour to be identified with small computational overhead.","Atomistic models, Molecular dynamics, Surfaces, interfaces and thin films",2020-04-15,https://nature.f.33tsg.xyz/articles/s41467-020-15619-9,https://nature.f.33tsg.xyz/articles/s41467-020-15619-9.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Quantitative prediction of grain boundary thermal conductivities from local atomic environments.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
23,10.1038/s41557-023-01341-8,"Tetrafluorenofulvalene as a sterically frustrated open-shell alkene","Bibek Prajapati, Madan D. Ambhore, Duy-Khoi Dang, Piotr J. Chmielewski, Tadeusz Lis, Carlos J. Gómez-García, Paul M. Zimmerman, Marcin Stępień","Nature Chemistry","Electronic and steric effects are known to greatly influence the structure, characteristics and reactivity of organic compounds. A typical π bond is weakened by oxidation (corresponding to the removal of electrons from bonding orbitals), by reduction (through addition of electrons to antibonding orbitals) and by unpairing of the bonding electrons, such as in the triplet state. Here we describe tetrafluorenofulvalene (TFF), a twisted, open-shell alkene for which these general rules do not hold. Through the synthesis, experimental characterization and computational analysis of its charged species spanning seven redox states, the central alkene bond in TFF is shown to become substantially stronger in the tri- and tetraanion, generated by chemical reduction. Furthermore, although its triplet state contains a weaker alkene bond than the singlet, in the quintet state its bond order increases substantially, yielding a flatter structure. This behaviour originates from the doubly bifurcated topology of the underlying spin system and can be rationalized by the balancing effects of benzenoid aromaticity and spin pairing.","Computational chemistry, Spectrophotometry, Structure elucidation",2023-10-02,https://nature.f.33tsg.xyz/articles/s41557-023-01341-8,https://nature.f.33tsg.xyz/articles/s41557-023-01341-8.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Tetrafluorenofulvalene as a sterically frustrated open-shell alkene.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
